company,Name,Ticker
Macy's,"Macy's, Inc.",M
Premark International,"Perma-Pipe International Holdings, Inc.",MFRI
United Natural Foods,"United Natural Foods, Inc.",UNFI
J.B. Hunt Transport Services,"J.B. Hunt Transport Services, Inc.",JBHT
Huntington Ingalls Industries,"Huntington Ingalls Industries, Inc.",HII
WellPoint,WidePoint Corporation,WYY
Reliant Energy,Radiant Energy Corporation,RDEGF
Dow Corning,,
L Brands,"L Brands, Inc.",LB
Phillips 66,Phillips 66,PSX
Jacobs Engineering Grp.,Jacobs Engineering Group Inc.,JEC
Niagara Mohawk Holdings,Niagara Mohawk Power Corporation,NMK-PB
Telephone & Data Systems,Telephone & Data Systems Inc.,TDA
Constellation Brands,"Constellation Brands, Inc.",STZ-B
Parker-Hannifin,Parker-Hannifin Corporation,PH
Booz Allen Hamilton Holding,Booz Allen Hamilton Holding Corporation,BAH
GPU,GPT Group,GPTGF
Ingredion,Ingredion Incorporated,INGR
American International Group,"American International Group, Inc.",AIG
Integrys Energy Group,"Integrys Energy Group, Inc.",TEG
Intl. Multifoods,,
Old Republic International,Old Republic International Corporation,ORI
Polaroid,Polaris Industries Inc.,PII
Merisel,MERSEN,CBLNF
Energy East,Far East Energy Corp.,FEEC
PerkinElmer,"PerkinElmer, Inc.",PKI
Fruit of the Loom,,
Sodexho Marriott Services,,
American General,"General American Investors Company, Inc.",GAM
CVS Caremark,CVSL Inc.,CVSL
HCA Holdings,"HC2 Holdings, Inc.",HCHC
Martin Marietta,"Martin Marietta Materials, Inc.",MLM
Ace Hardware,PT Ace Hardware Indonesia Tbk,ACEHF
Arvin Industries,,
ManpowerGroup,ManpowerGroup Inc.,MAN
Time Warner Cable,Time Warner Cable Inc.,TWC
Trans World Airlines,Trans World Corporation,TWOC
JetBlue Airways,JetBlue Airways Corporation,JBLU
Freeport-McMoRan Copper & Gold,Freeport-McMoRan Inc.,FCX
Quanta Services,"Quanta Services, Inc.",PWR
SCANA,SCANA Corporation,SCG
Bergen Brunswig,,
Maxtor,Magor Corporation,MGORF
General Instrument,,
Agway,,
Sanmina,Sanmina Corporation,SANM
PulteGroup,"PulteGroup, Inc.",PHM
Con-way,"Art's-Way Manufacturing Co., Inc.",ARTW
SAIC,SAIC-WI,SAIC-WI
Reliance Group Holdings,,
Express Scripts Holding,Express Scripts Holding Company,ESRX
PBF Energy,PBF Energy Inc.,PBF
SunGard Data Systems,,
MicroAge,Microart Inc.,MCRT
International Business Machines,International Business Machines Corporation,IBM
URS,URZ.A,URZ.A
Roundy's,,
Alliant Techsystems,,
Toll Brothers,"Toll Brothers, Inc.",TOL
Facebook,"Facebook, Inc.",FB
Scott Paper,,
Pentair,Pentair plc,PNR
Great Lakes Chemical,,
Dow Jones,,
Cincinnati Milacron,,
Imcera Group,GROUPE,GROPF
Plains All American Pipeline,"Plains All American Pipeline, L.P.",PAA
National Steel,,
A.O. Smith,A. O. Smith Corporation,AOS
Twenty-First Century Fox,"Twenty-First Century Fox, Inc.",FOXA
American Airlines Group,American Airlines Group Inc.,AAL
Guilford Mills,,
Herman Miller,"Herman Miller, Inc.",MLHR
Airborne,,
LKQ,LKQ Corporation,LKQ
Supermarkets Genl. Holdings,,
Consolidated Papers,,
Grumman,Northrop Grumman Corporation,NOC
GenCorp,GenCorp Inc.,GY
Tractor Supply,Tractor Supply Company,TSCO
HNI,HNI Corporation,HNI
Coltec Industries,,
Weirton Steel,,
Reliance Electric,"Restance, Inc.",GCNT
Thomas & Betts,,
Worthington Industries,"Worthington Industries, Inc.",WOR
Bindley Western,,
Borders Group,"Interactive Brokers Group, Inc.",IBKR
Imo Industries,,
KKR,KKR & Co. L.P.,KKR
AMDAHL,,
Dick's Sporting Goods,"Dick's Sporting Goods, Inc.",DKS
McCormick,"McCormick & Company, Incorporated",MKC
Sunbeam/Oster,,
A. Schulman,"A. Schulman, Inc.",SHLM
Interlake,"Interface, Inc.",TILE
Potlatch,Potlatch Corporation,PCH
FINA,FIMA INC,FIMA
C.R. Bard,"C. R. Bard, Inc.",BCR
Ferro,Ferro Corporation,FOE
McDermott,"McDermott International, Inc.",MDR
Springs Industries,,
International Controls,Johnson Controls International plc,JCI
Amsted Industries,"Astec Industries, Inc.",ASTE
Reynolds & Reynolds,,
Mitchell Energy & Devel.,,
Deluxe,Deluxe Corporation,DLX
Alberto-Culver,,
Jostens,,
Rhone-Poulenc Rorer,,
Wynn Resorts,"Wynn Resorts, Limited",WYNN
Eagle-Picher Industries,,
Maxus Energy,,
Storage Technology,,
Frontier Communications,Frontier Communications Corporation,FTR
Simon Property Group,"Simon Property Group, Inc.",SPG
Mirant,MITANI CORP,MITCF
Hartford Financial Services Group,"The Hartford Financial Services Group, Inc.",HIG
Murphy USA,Murphy USA Inc.,MUSA
Rubbermaid,,
Union Texas,,
UIS,UIB Group Limited,UIBGF
Insilco,,
Meredith,Meredith Corporation,MDP
ARMCO,"Armco Metals Holdings, Inc",AMCO
Nacco Industries,"NACCO Industries, Inc.",NC
Nalco Chemical,,
Burlington Industries Equity,,
Kimball International,"Kimball International, Inc.",KBAL
Cabot,Cabot Corporation,CBT
Briggs & Stratton,Briggs & Stratton Corporation,BGG
Aeroquip-Vickers,,
Great Atlantic & Pacific Tea,,
IAC/Interactive,IAC/InterActiveCorp,IAC
Atmos Energy,Atmos Energy Corporation,ATO
Conner Peripherals,,
Universal Foods,,
GAF,GRF.A,GRF.A
Hannaford Bros.,,
Windstream Holdings,"Windstream Holdings, Inc.",WIN
Rohr,"ROHM Co., Ltd.",ROHCY
M.A. Hanna,,
Metaldyne,Metaldyne Performance Group Inc.,MPG
Leslie Fay,,
Intl. Flavors & Frag.,,
Thorn Apple Valley,Apple Inc.,AAPL
TransMontaigne,Transmontaigne Partners L.P.,TLP
Figgie International,,
Brown-Forman,Brown-Forman Corporation,BF-A
Pathmark Stores,,
Russell,Russell Breweries Inc.,RBRWF
United Rentals,"United Rentals, Inc.",URI
Savannah Foods & Industries,,
Bausch & Lomb,,
Warnaco Group,GROUPE,GROPF
Hanson Industries NA,,
Unicom,China Unicom (Hong Kong) Limited,CHU
Frontier Oil,,
Tecumseh Products,Tecumseh Products Company,TECU
Cray Research,Cray Inc.,CRAY
Natl. Coop. Refinery Assn.,,
Central & South West,,
DIMON,,
Snap-On,Snap-on Incorporated,SNA
Kellwood,JVC KENWOOD Corporation,JVCZY
Valhi,"Valhi, Inc.",VHI
H&R Block,"H&R Block, Inc.",HRB
Ethyl,,
Sundstrand,,
Zenith Electronics,,
Hartmarx,Paul Hartmann AG,PLHNF
Dexter,"Denver Bankshares, Inc.",DNVB
Louisiana Land & Exploration,,
Sun-Diamond Growers,,
CF Industries,"CF Industries Holdings, Inc.",CF
Hillenbrand Industries,"Hillenbrand, Inc.",HI
Harsco,Harsco Corporation,HSC
Paine Webber Group,GROUPE,GROPF
NCH,"NCI, Inc.",NCIT
Olsten,Fred. Olsen Energy ASA,FOEAY
CC Media Holdings,,
Consolidated Natural Gas,,
Quaker State,,
Sequa,,
Thiokol,,
Nortek,Nortek Inc.,NTK
Standard Products,"Standard Motor Products, Inc.",SMP
Standard Commercial,,
HD Supply Holdings,"HD Supply Holdings, Inc.",HDS
Texas Industries,,
Liberty Interactive,,
Molex,"Monex Group, Inc.",MNXBF
Longview Fibre,,
Lukens,Lumenis Ltd.,LMNS
Varian Associates,,
Federal Paper Board,,
MID-AMERICA DAIRYMEN,,
E-SYSTEMS,,
Plains GP Holdings,"Plains GP Holdings, L.P.",PAGP
Toro,Toro Energy Limited,TOEYF
Northern Trust Corp.,Northern Trust Corporation,NTRS
Freeport-McMoran,Freeport-McMoRan Inc.,FCX
Banta,"Komercn� banka, a.s.",KMERF
Chesapeake,Chesapeake Energy Corporation,CHK-PD
Tektronix,Textron Inc.,TXT
Wang Laboratories,,
Lafarge,Lafarge S.A.,LFRGY
Shell Oil,,
American Cyanamid,"AmeriCann, Inc.",ACAN
Echostar Communications,EchoStar Corporation,SATS
AECOM Technology,AECOM,ACM
AbbVie,AbbVie Inc.,ABBV
Sealy,"Tempur Sealy International, Inc.",TPX
Mylan,Mylan N.V.,MYL
Columbia Energy Group,,
Kaman,Kaman Corporation,KAMN
Georgia Gulf,,
Tandem Computers,,
Fort Howard,,
True Value,,
Triarc,Triad Guaranty Inc.,TGICQ
Magma Copper,,
Gerber Products,,
Bowater,,
H.B. Fuller,H.B. Fuller Company,FUL
WestPoint Stevens,,
Outboard Marine,,
E.W. Scripps,The E. W. Scripps Company,SSP
UST,USG Corporation,USG
Wisconsin Energy,EnerSys,ENS
Riceland Foods,,
Standard Register,The Standard Register Company,SRCTQ
BASF,BASF SE,BASFY
Realogy Holdings,Realogy Holdings Corp.,RLGY
Silicon Graphics,Silicon Graphics International Corp.,SGI
Bayer Corporation,International Baler Corporation,IBAL
Plains All Amer. Pipeline,,
Ametek,"AMETEK, Inc.",AME
General Signal,Federal Signal Corporation,FSS
Consol Energy,CONSOL Energy Inc.,CNX
OGE Energy,OGE Energy Corp.,OGE
Crane,Crane Co.,CR
Furniture Brands Intl.,,
GTE,GTE.A,GTE.A
Magnetek,,
Hoechst Celanese,Celanese Corporation,CE
AG Processing,,
Prairie Farms Dairy,,
National Service Industries,,
Vulcan Materials,Vulcan Materials Company,VMC
Clark Equipment,Clarke Inc.,CLKFF
HealthSouth,HealthSouth Corporation,HLS
Crown Central,,
Nash-Finch,,
Walter Industries,Kurita Water Industries Ltd.,KTWIF
Gold Kist Holdings,,
Alaska Air Group,"Alaska Air Group, Inc.",ALK
Applera,"AppYea, Inc.",APYP
J.E. Seagram,,
Nextel Communications,"American Nortel Communications, Inc.",ARTM
Jefferson-Pilot,,
Data General,,
Intergraph,Internap Corporation,INAP
Hubbell,Hubbell Incorporated,HUBB
Raychem,,
Pittway,,
SanDisk,SanDisk Corp.,SNDK
Wheeling Pittsburgh,,
Gaylord Container,,
Ocean Spray,"Ocean Spray Cranberries, Inc.",OCESP
Florida Progress,,
Central Soya,,
American Greetings,"AmeriCann, Inc.",ACAN
Hilton Worldwide Holdings,Hilton Worldwide Holdings Inc.,HLT
Cox Communications,FT COMMUNICATIONS CO,FTCOF
J.P. Morgan,J.P. MORGAN PRIVATE,JQMPF
O'Reilly Automotive,"O'Reilly Automotive, Inc.",ORLY
CVS Health,CVS Health Corporation,CVS
Triad Hospitals,,
American Stores,American States Water Company,AWR
iHeartMedia,"iHeartMedia, Inc.",IHRT
BankBoston Corp.,,
Western & Southern Financial,,
JPS Textile Group,JPZ,JPZ
Alphabet,Alphabet Inc.,GOOG
Interface,"Interface, Inc.",TILE
Hanesbrands,Hanesbrands Inc.,HBI
First American Financial,"American First Financial, Inc.",AFRS
Massey Energy,,
3Com,,
Amphenol,Amphenol Corporation,APH
Duracell International,,
ONEOK,"ONEOK, Inc.",OKE
Host Marriott,,
Phillips-Van Heusen,,
Millipore,Books-A-Million Inc.,BAMM
Alumax,Azumah Resources Limited,AZUMF
Prudential Ins. Co. of America,"AmeriCann, Inc.",ACAN
Tambrands,Taranis Resources Inc.,TNREF
salesforce.com,"Salesforce.com, inc.",CRM
Republic New York Corp.,NEWS CORP,NWSAL
Hudson Foods,,
Phoenix,"Phoenix Bancorp, Inc.",PXBP
Avondale Industries,,
Carlisle,Carlisle Companies Incorporated,CSL
Holly,"Holly Energy Partners, L.P.",HEP
Walmart,"Wal-Mart Stores, Inc.",WMT
Cone Mills,,
Newell Brands,Newell Brands Inc.,NWL
SouthTrust Corp.,Southcoast Financial Corp.,SOCB
Mondelez International,"Mondelez International, Inc.",MDLZ
Farmers Insurance Exchange,,
Commerce Clearing House,,
Harcourt General,,
Bankers Trust Corp.,,
HP,HP Inc.,HPQ
AST Research,,
Lutheran Brotherhood,,
EMCOR Group,"EMCOR Group, Inc.",EME
Turner Corp.,,
Giant Food,,
Biogen Idec,Biogen Inc.,BIIB
NGL Energy Partners,NGL Energy Partners LP,NGL
Packaging Corp. of America,Packaging Corporation of America,PKG
WESCO International,"WESCO International, Inc.",WCC
Comdisco Holding,"Comdisco Holding Company, Inc.",CDCO
Transamerica,"TransAmerican Energy, Inc.",TAEGF
Stanhome,,
Mark IV Industries,,
Alliance Data Systems,Alliance Data Systems Corporation,ADS
Ameritech,"AmpliTech Group, Inc.",AMPG
Great American Mgmt. & Inv.,"AmeriCann, Inc.",ACAN
PacifiCorp,PacifiCorp,PPWLM
LSI Logic,,
Blockbuster,,
Biogen,Biogen Inc.,BIIB
Cincinnati Financial,Cincinnati Financial Corporation,CINF
Unum,Unum Group,UNM
ITT Rayonier,Rayonier Inc.,RYN
Fred Meyer,,
Anchor Glass Container,,
Helene Curtis Industries,,
IBM,IBI Group Inc.,IBIBF
Eversource Energy,Eversource Energy,ES
Enterprise Products,Enterprise Products Partners L.P.,EPD
Service Merchandise,,
La-Z-Boy,La-Z-Boy Incorporated,LZB
Lithia Motors,"Lithia Motors, Inc.",LAD
Kraft Foods,,
Anthem,"Anthem, Inc.",ANTM
AMAX,AVAX Technologies Inc.,AVXT
North American Philips,,
A-Mark Precious Metals,"A-Mark Precious Metals, Inc.",AMRK
Freeport-McMoRan,Freeport-McMoRan Inc.,FCX
AECOM,AECOM,ACM
Casey's General Stores,"Casey's General Stores, Inc.",CASY
Nerco,,
Quantum Chemical,,
Tri Valley Growers,,
ShopKo Stores,,
Voya Financial,"Voya Financial, Inc.",VOYA
WestRock,WestRock Company,WRK
Alleghany,Alleghany Corporation,Y
Netflix,"Netflix, Inc.",NFLX
Leucadia National,Leucadia National Corporation,LUK
Delek US Holdings,"Delek US Holdings, Inc.",DK
NII Holdings,"NII Holdings, Inc.",NIHD
Foodbrands America,,
AIG,AIT CORP,AITPF
Spirit AeroSystems Holdings,"Spirit AeroSystems Holdings, Inc.",SPR
Imperial Sugar,,
CompUSA,Compass Group PLC,CMPGY
United Services Automobile Assn.,,
SpartanNash,SpartanNash Company,SPTN
Lincoln Electric Holdings,"Lincoln Electric Holdings, Inc.",LECO
Jones Lang LaSalle,Jones Lang LaSalle Incorporated,JLL
DirecTV,Concepts Direct Inc.,CDIR
Browning-Ferris Industries,,
First Brands,"Brandt, Inc.",BNDT
AM International,,
Unilever U.S.,,
Spectrum Group International,Spectrum Group International Inc.,SPGZ
Hughes Supply,,
Tele-Communications,"Electronic Tele-Communications, Inc.",ETCIA
Affiliated Computer Svcs.,,
Virgin Media,,
Oryx Energy,,
Allegheny Energy,Alleghany Corporation,Y
XPO Logistics,"XPO Logistics, Inc.",XPO
Betz Laboratories,,
Cyclops Industries,,
Pope & Talbot,,
CB Richard Ellis Group,,
Arconic,Arconic Inc.,AA-P
Henley Group,GROUPE,GROPF
Hexion Specialty Chemicals,,
Arthur J. Gallagher,Arthur J. Gallagher & Co.,AJG
Uniroyal Chemical,,
Scientific-Atlanta,ATLANTICA INC,ALDA
P.H. Glatfelter,P. H. Glatfelter Company,GLT
Case,CAST,CSXKF
Priceline Group,The Priceline Group Inc.,PCLN
Citgo Petroleum,,
Beverly Enterprises,,
Discovery Communications,"Discovery Communications, Inc.",DISCA
Fisher Scientific Intl.,,
Media General,"Media General, Inc.",MEG
Raymond James Financial,"Raymond James Financial, Inc.",RJF
O’Reilly Automotive,"O'Reilly Automotive, Inc.",ORLY
LG&E Energy,EnerSys,ENS
Golden State Bancorp,Golden State Bancorp,GSBX
General Re,,
InaCom,"INNOCOM Technology Holdings, Inc.",INCM
Markel,Markel Corporation,MKL
Anacomp,"Anacomp, Inc.",ANMP
Ryland Group,GROUPE,GROPF
GenAmerica,,
Dresser-Rand,Dresser-Rand Group Inc.,DRC
Peter Kiewit Sons’,,
Safety-Kleen,,
CST Brands,"CST Brands, Inc.",CST
MCI Communications,,
AmSouth Bancorp.,,
Enterprise GP Holdings,,
"MediaOne Group, Inc.",Median Group Inc.,CHMD
Land O’Lakes,,
St. Joe Paper,,
Costco,Costco Wholesale Corporation,COST
Amoskeag,,
Wellman,"Willdan Group, Inc.",WLDN
PepsiAmericas,Petroamerica Oil Corp.,PTAXF
NuStar Energy,NuStar Energy L.P.,NS
Stewart & Stevenson Svcs.,,
Walgreens Boots Alliance,"Walgreens Boots Alliance, Inc.",WBA
Food 4 Less,,
Universal Health Svcs.,,
First Chicago NBD Corp.,,
CoreStates Financial Corp.,,
Essex Group,,
DR Holdings Inc. of Delaware,,
Gitano Group,GROUPE,GROPF
Westmoreland Coal,Westmoreland Coal Company,WLB
Valspar,The Valspar Corporation,VAL
Pall,PAL.A,PAL.A
MRC Global,MRC Global Inc.,MRC
Carpenter Technology,Carpenter Technology Corporation,CRS
USF&G,,
ADP,ADK.A,ADK.A
Hovnanian Enterprises,"Hovnanian Enterprises, Inc.",HOV
Kohl’s,Kohl's Corporation,KSS
Leidos Holdings,"Leidos Holdings, Inc.",LDOS
Lam Research,Lam Research Corporation,LRCX
Providian Financial,Provident Financial plc,FPLPF
Wyndham Worldwide,Wyndham Worldwide Corporation,WYN
Citicorp,,
Citizens Financial Group,"Citizens Financial Group, Inc.",CFG
Casey’s General Stores,"Casey's General Stores, Inc.",CASY
WEC Energy Group,"WEC Energy Group, Inc.",WEC
Carter-Wallace,,
Penn Traffic,,
Crystal Brands,,
Delta Woodside Industries,,
Jones Financial,,
LifePoint Health,"LifePoint Health, Inc.",LPNT
Dillard’s,"Dillard's, Inc.",DDS
Macy’s,"Macy's, Inc.",M
Harman Intl. Industries,,
Lowe’s,Loews Corporation,L
Vista Chemical,,
BankAmerica Corp.,,
H.F. Ahmanson,,
Inspiration Resources,,
Wells Fargo & Co.,Wells Fargo & Co. Wt,WFC-WT
Zimmer Biomet Holdings,"Zimmer Biomet Holdings, Inc.",ZBH
Bell & Howell,,
Fairchild,Fairchild Semiconductor International Inc.,FCS
Cliffs Natural Resources,,
S&P Global,iShares S&P/TSX Global Gold Index ETF,IUTCF
Blackstone Group,The Blackstone Group L.P.,BX
US Foods Holding,,
UPS,UPD Holding Corp.,ESWB
Meritor Automotive,"Meritor, Inc.",MTOR
Kraft Heinz,The Kraft Heinz Company,KHC
Richfood Holdings,,
Long Island Lighting,,
Health Management Associates,,
Airgas,"Airgas, Inc.",ARG
Univar,Univar Inc.,UNVR
Barnett Banks,,
TIAA,Tian'an Pharmaceutical Co.Ltd,TNPH
Est�e Lauder,,
Lorillard,"Lorillard, Inc.",LO
Dr Pepper/Seven-Up,,
Spartan Stores,,
Handy & Harman,Handy & Harman Ltd.,HNH
Scana,SCANA Corporation,SCG
XTO Energy,,
Amazon.Com,"Amazon.com, Inc.",AMZN
Toys “R” Us,,
Mercantile Stores,,
Burlington Stores,"Burlington Stores, Inc.",BURL
Dick’s Sporting Goods,"Dick's Sporting Goods, Inc.",DKS
PayPal Holdings,"PayPal Holdings, Inc.",PYPL
Veritiv,Veritiv Corporation,VRTV
Avista,Avista Corporation,AVA
Beckman Coulter,,
M&T Bank Corp.,M&T Bank Corporation,MTB
ABM Industries,ABM Industries Incorporated,ABM
McDonald’s,McDonald's Corporation,MCD
Exide Technologies,Exide Technologies,XIDEQ
Conectiv,,
Equity Office Properties,,
Total Petroleum,,
Essendant,Essendant Inc.,ESND
APL,APL-PECL,APL-PECL
Amerigroup,Amerigo Resources Ltd.,ARREF
Ascena Retail Group,"Ascena Retail Group, Inc.",ASNA
Ply Gem,"Ply Gem Holdings, Inc",PGEM
WellChoice,,
Jabil,Jabil Inc.,JBL
Sterling Chemicals,,
Southdown,SouthGobi Resources Ltd.,SGQRF
AbitibiBowater,,
Finevest Foods,,
Quanex,Quanex Building Products Corporation,NX
Adams Resources & Engy.,"Adams Resources & Energy, Inc.",AE
DaVita HealthCare Partners,DaVita Inc.,DVA
Hewlett Packard Enterprise,Hewlett Packard Enterprise Company,HPE
American Tower,American Tower Corporation,AMT
MDC Holdings,,
Expeditors Intl. of Washington,"Expeditors International of Washington, Inc.",EXPD
NorAm Energy,EnerSys,ENS
Dominion Energy,"Dominion Energy, Inc.",D
Encompass Services,"Encompass Energy Services, Inc.",EESI
Kennametal,Kennametal Inc.,KMT
Block Drug,,
HRG Group,"HRG Group, Inc.",HRG
Expedia,"Expedia, Inc.",EXPE
"HomeBase, Inc.",Medicus Homecare Inc.,MDCRE
CF Industries Holdings,"CF Industries Holdings, Inc.",CF
Conoco,CNOOC Limited,CEO
Aleris International,"Aerius International, Inc.",AERS
Pacific Enterprises,,
Payless Cashways,,
Lone Star Technologies,"Lone Star Gold, Inc.",LSTG
Lennox International,Lennox International Inc.,LII
Affiliated Computer Services,,
Marshall & Ilsley Corp.,,
Arcadian,"Arcadia Biosciences, Inc.",RKDA
TreeHouse Foods,"Treehouse Foods, Inc.",THS
Allegiance,"Allegiance Bancshares, Inc.",ABTX
Polo Ralph Lauren,Ralph Lauren Corporation,RL
Dell Technologies,,
Caldor,"Calcol, Inc.",CLCL
Kinder Morgan Energy,"Kinder Morgan, Inc.",KMI-PA
Activision Blizzard,"Activision Blizzard, Inc.",ATVI
Kraft Foods Group,,
Control Data,,
Bruno's,,
BJ Services,,
Conagra Brands,"Conagra Brands, Inc.",CAG
Susser Holdings,"Summer Energy Holdings, Inc.",SUME
Realogy,Realogy Holdings Corp.,RLGY
Intercontinental Exchange,"Intercontinental Exchange, Inc.",ICE
Silgan Holdings,Silgan Holdings Inc.,SLGN
SSMC,SMC Corporation,SMECF
Mastercard,Mastercard Incorporated,MA
Philips Industries,,
Huffy,,
Disney,The Walt Disney Company,DIS
Burlington Northern Santa Fe,,
Dixie Yarns,,
Thrifty PayLess Holdings,,
Harman International Industries,"Harman International Industries, Incorporated",HAR
Steelcase,Steelcase Inc.,SCS
Loctite,LOTTE CHILSUNG PFD,LTTTF
WPS Resources,WPC Resources Inc.,WPCZF
Tesla,"Tesla, Inc.",TSLA
Morgan Stanley Group,Morgan Stanley,MS-PF
United States Surgical,,
Guidant,Giant Resources Inc.,GIREF
Rock-Tenn,Rock-Tenn Company,RKT
Oxford Industries,"Oxford Industries, Inc.",OXM
PanEnergy,HTC Purenergy Inc.,HTPRF
Del Monte Foods,,
Vistra Energy,Petro Vista Energy Corp.,PTVYF
Yum China Holdings,"YuMe, Inc.",YUME
Eckerd,,
Estée Lauder,The Est�e Lauder Companies Inc.,EL
GMAC,GMAC Capital Trust I,ALLY-PA
Ames Dept. Stores,,
Berry Global Group,"Berry Global Group, Inc.",BERY
Jones Financial (Edward Jones),,
Teachers Insurance & Annuity Assn.,,
Penn Central,,
American Axle & Mfg.,,
Pacific Telesis Group,GROUPE,GROPF
Telephone & Data Sys.,,
Robert Half International,Robert Half International Inc.,RHI
Chemours,The Chemours Company,CC
Revco D.S.,,
FHP International,,
Square D,"Square, Inc.",SQ
Pioneer Natural Resources,Pioneer Natural Resources Company,PXD
Caliber System,,
Baroid,"Baron Energy, Inc.",BROE
Butler Manufacturing,,
Verizon,Verizon Communications Inc.,VZ
Smith's Food & Drug Centers,,
Avatex,AVAX Technologies Inc.,AVXT
Harvard Industries,"Hayward Industries, Inc.",HWRI
Builders FirstSource,"Builders FirstSource, Inc.",BLDR
IAC/InterActiveCorp,IAC/InterActiveCorp,IAC
Universal American,Universal American Corp.,UAM
Vanguard Health Systems,,
Synchrony Financial,Synchrony Financial,SYF
Holnam,"Honat Bancorp, Inc.",HONT
AdvancePCS,Health Advance Inc.,HADV
Robertson-Ceco,,
CHS Electronics,"CHS, Inc.",CHSCP
Great Western Financial Corp.,,
Bandag,BANDAI NAMCO Holdings Inc.,NCBDF
Bank of New York Mellon,The Bank of New York Mellon Corporation,BK
Blount,Blount International Inc.,BLT
Intelligent Electronics,,
Jacuzzi Brands,"Brandt, Inc.",BNDT
Valmont Industries,"Valmont Industries, Inc.",VMI
DirecTV Group,GROUPE,GROPF
Analog Devices,"Analog Devices, Inc.",ADI
Sonat,Sona Resources Corp.,SREZF
NYSE Euronext,,
Conrail,Conair Corporation,CNGA
Providian,"Provision Holding, Inc.",PVHO
L3 Technologies,"L3 Technologies, Inc.",LLL
Vons,,
DIRECTV Group,GROUPE,GROPF
Joy Technologies,,
New Century Energies,,
Beatrice,,
Nvidia,NVIDIA Corporation,NVDA
Chemed,Chemed Corporation,CHE
Nynex,"Zynex, Inc.",ZYXI
Salomon,Norway Royal Salmon AS,NRYYF
Beazer Homes USA,"Beazer Homes USA, Inc.",BZH
Varity,Verity Corp.,VRTY
Navient,Navient Corporation,ISM
Certainteed,,
U.S. Office Products,,
Wisconsin Dairies Cooperative,CO OPERATIVE,COOBF
Brooke Group,BOOKER GROUP,BOKGF
Westlake Chemical,Westlake Chemical Corporation,WLK
Great Northern Nekoosa,,
Fortive,"Fortinet, Inc.",FTNT
Booz Allen Hamilton,Booz Allen Hamilton Holding Corporation,BAH
U.S. Foodservice,,
NL Industries,"NL Industries, Inc.",NL
Tyler,"Tyler Technologies, Inc.",TYL
International Assets Holding,,
Tyco Laboratories,,
Quintiles Transnational Holdings,,
Calmat,Carmat SA,CKMTF
Boatmen's Bancshares,,
Stop & Shop,,
Booking Holdings,,
Tyco Toys,,
Albertsons Cos.,,
Qurate Retail,,
Revlon,"Revlon, Inc.",REV
IQVIA Holdings,,
Unisource,Unisource Corporate Corporation,USRC
NorthWestern,Northwestern Corporation,NWE
International Steel Group,GROUPE,GROPF
Lansing Trade Group,"Trxade Group, Inc.",TRXD
Valassis Communications,,
DXC Technology,"DAC Technologies Group International, Inc.",DAAT
Foundation Health,,
Oshkosh Truck,Oshkosh Corporation,OSK
Corporate Express,"Express, Inc.",EXPR
ON Semiconductor,ON Semiconductor Corporation,ON
Kendall International,,
Genesis Healthcare,"Genesis Healthcare, Inc.",GEN
Thor Industries,"Thor Industries, Inc.",THO
Discovery,Discovery Limited,DCYHY
J.M. Huber,,
Albany International,Albany International Corp.,AIN
Alpha Natural Resources,"Alpha Natural Resources, Inc.",ANR
HCA Healthcare,"HCA Healthcare, Inc.",HCA
Freeport-McMoRan Cpr. & Gld,Freeport-McMoRan Inc.,FCX
Centerior Energy,"Centor Energy, Inc.",CNTO
Adobe Systems,Adobe Systems Incorporated,ADBE
J.P. Morgan Chase,JPMorgan Chase & Co.,JPM
America Online,,
J&L Specialty Steel,,
AirTouch Communications,,
Constar International,,
TEPPCO Partners,,
Laidlaw International,,
Regeneron Pharmaceuticals,"Regeneron Pharmaceuticals, Inc.",REGN
Millennium Chemicals,,
Norton,Norton Gold Fields Limited,NGLDF
Primedia,"Primerica, Inc.",PRI
Southern Pacific Rail,,
Crestline Capital,,
Puget Energy,EnerSys,ENS
Morrison Knudsen,,
National Gypsum,,
Momentive Specialty Chemicals,,
US Foods,,
Denny's,Denny's Corporation,DENN
Pet,Central Garden & Pet Company,CENT
MasTec,"MasTec, Inc.",MTZ
Homestake Mining,,
R.H. Donnelley,,
Genzyme,,
Knight,Knight Therapeutics Inc.,KHTRF
Aristech Chemical,,
Ventas,"Ventas, Inc.",VTR
Esselte Business Systems,,
AT&T Wireless Services,AT&T Inc.,T
Foxboro,,
Affiliated Publications,,
Security Benefit,,
Sovereign Bancorp,,
Beneficial,"Beneficial Holdings, Inc.",BFHJ
Embarq,Ebara Corporation,EBCOY
Carpenter,Carpenter Technology Corporation,CRS
Dennison Manufacturing,,
Lehman Brothers Holdings,Lehman Brothers Holdings Capital Trust VI,LEHNQ
Himont,"HINTO Energy, Inc.",HENI
AmTrust Financial Services,"AmTrust Financial Services, Inc.",AFSI
Ulta Beauty,"Ulta Beauty, Inc.",ULTA
CA,"CA, Inc.",CA
MDU Resources Group,"MDU Resources Group, Inc.",MDU
Cheniere Energy,"Cheniere Energy, Inc.",LNG
Viad,Viad Corp,VVI
JPMorgan Chase,JPMorgan Chase & Co.,JPM
Marion Laboratories,,
Goulds Pumps,,
Tredegar Industries,Tredegar Corporation,TG
Jefferies Financial Group,GROUPE,GROPF
US West,,
